Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	OAE:0001735	IAO:0000115	"AE1 is_evidence_of AE2 if and only if: given an adverse event instance ae1 that instantiates class AE1 (e.g., electrocardiogram qt prolonged AE) and another adverse event instance ae2 that instantiates class AE2 (e.g., arrhythmia AE), both ae1 and ae2 are adverse events that are clinically observed after a medical intervention (at time t0) on the same patient. The presence of ae1 is supported by priori knowledge of medicine to imply the presence of ae2 with some probability P (P is NOT always 1, thus transitivity does not apply to is_evidence_of relation. AE1 is_evidence_of AE2 and AE2 is_evidence_of AE3 DOES NOT imply AE1 is_evidence_of AE3). The instance ae1 and ae2 are observed or detected at time t1 and t2, respectively. The biological onset time for ae1 or ae2 may occur before t1 or t2. The t1 and t2 can be the same time point or different time points. 
"
WARN	annotation_whitespace	OAE:0001735	IAO:0000116	This represents a relation between two adverse events AE1 and AE2. However, AE1 may be an evidence of another adverse event AE3, and a dfferent adverse event AE4 may also be an evidence of the same AE2. 
WARN	annotation_whitespace	OAE:0001767	IAO:0000116	"[SS] http://emedicine.medscape.com/article/193921-overview, Mesenteric venous thrombosis (also known as visceral venous thrombosis) is a rare but lethal form of mesenteric ischemia (see the image below). Antonio Hodgson first described mesenteric ischemia in the latter part of the 15th century. In 1895, Elliot first described mesenteric venous thrombosis as a cause of mesenteric ischemia. By the turn of the 19th century, many review articles and texts were describing the recent advances in the characterization and treatment of mesenteric ischemia, particularly venous thrombosis. In 1935, Warren and Eberhard reported that intestinal infarction resulted from ischemia due to venous thrombosis, and they reported a mortality rate of 34% in patients with venous thrombosis after resection. Unfortunately, despite improvements in therapy, this mortality rate still holds.
"
WARN	annotation_whitespace	OAE:0001806	IAO:0000119	WEB: http://www.nlm.nih.gov/medlineplus/ency/article/000270.htm 
WARN	annotation_whitespace	OAE:0001807	IAO:0000119	WEB: http://www.medscape.com/viewarticle/436542_13 
WARN	annotation_whitespace	OAE:0001808	IAO:0000119	WEB: http://www.medilexicon.com/medicaldictionary.php?t=44396 
WARN	annotation_whitespace	OAE:0001835	IAO:0000119	 Web: http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#Grade_0_Adverse_Event
WARN	annotation_whitespace	OAE:0001836	IAO:0000119	 Web: http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#Grade_1_Adverse_Event
WARN	annotation_whitespace	OAE:0001837	IAO:0000119	 Web: http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#Grade_2_Adverse_Event
WARN	annotation_whitespace	OAE:0001838	IAO:0000119	 Web: http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#Grade_3_Adverse_Event
WARN	annotation_whitespace	OAE:0001839	IAO:0000119	 Web: http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#Grade_4_Adverse_Event
WARN	annotation_whitespace	OAE:0001840	IAO:0000119	 Web: http://ncicb.nci.nih.gov/xml/owl/EVS/ctcae.owl#Grade_5_Adverse_Event
WARN	annotation_whitespace	OAE:0001852	IAO:0000115	a sensory capability AE that has an outcome of numbness, a loss of sensation of feeling in a part of the body. 
WARN	annotation_whitespace	OAE:0001854	IAO:0000116	The terms 'circumoral numbness AE' and 'circumoral paresthesia AE' appear to be synonyms. 
WARN	annotation_whitespace	OAE:0002331	IAO:0000118	Blood pH Decreased 
WARN	annotation_whitespace	OAE:0002353	IAO:0000117	YH, SJ 
WARN	annotation_whitespace	OAE:0002361	IAO:0000117	YH, SJ 
WARN	annotation_whitespace	OAE:0002374	IAO:0000119	"WEB: http://www.medicinenet.com/script/main/art.asp?articlekey=2477
"
WARN	annotation_whitespace	OAE:0002376	IAO:0000117	"SJ, YH
"
WARN	annotation_whitespace	OAE:0002376	IAO:0000118	blindness unilateral 
WARN	annotation_whitespace	OAE:0002381	IAO:0000119	"WEB: http://www.webmd.com/men/testosterone-15738
"
WARN	annotation_whitespace	OAE:0002386	IAO:0000117	SJ, YH 
WARN	annotation_whitespace	OAE:0002388	IAO:0000119	"WEB: http://medical-dictionary.thefreedictionary.com/bradyarrhythmia
"
WARN	annotation_whitespace	OAE:0002390	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Brain_death
"
WARN	annotation_whitespace	OAE:0002391	IAO:0000119	"WEB: http://www.nlm.nih.gov/medlineplus/ency/article/001421.htm

"
WARN	annotation_whitespace	OAE:0002392	IAO:0000119	"WEB: http://www.biausa.org/FAQRetrieve.aspx?ID=43913


"
WARN	annotation_whitespace	OAE:0002393	IAO:0000118	Brain Neoplasm 
WARN	annotation_whitespace	OAE:0002394	IAO:0000119	"WEB: http://www.nlm.nih.gov/medlineplus/ency/article/007341.htm
"
WARN	annotation_whitespace	OAE:0002401	IAO:0000119	"WEB: http://medical-dictionary.thefreedictionary.com/chromaturia
"
WARN	annotation_whitespace	OAE:0002402	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Chromosome_abnormality
"
WARN	annotation_whitespace	OAE:0002403	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Coagulopathy
"
WARN	annotation_whitespace	OAE:0002404	IAO:0000119	"WEB: http://www.ncbi.nlm.nih.gov/books/NBK22254/
"
WARN	annotation_whitespace	OAE:0002436	IAO:0000117	YH, SJ 
WARN	annotation_whitespace	OAE:0002450	IAO:0000119	"WEB: http://www.drugs.com/cg/brain-stem-infarction.html
"
WARN	annotation_whitespace	OAE:0002451	IAO:0000117	 SJ, YH
WARN	annotation_whitespace	OAE:0002453	IAO:0000118	Butt Pain 
WARN	annotation_whitespace	OAE:0002458	IAO:0000115	"Cardiac massage is a resuscitative procedure that employs the rhythmic compression of the chest and heart in an effort to restore and maintain the circulation after cardiac arrest or ventricular fibrillation
"
WARN	annotation_whitespace	OAE:0002464	IAO:0000119	"WEB: http://www.webmd.com/brain/brain-lesions-causes-symptoms-treatments

    
"
WARN	annotation_whitespace	OAE:0002466	IAO:0000119	"WEB: http://www.healthline.com/health/brain-disorders#Overview1

"
WARN	annotation_whitespace	OAE:0002477	IAO:0000117	YH, SJ 
WARN	annotation_whitespace	OAE:0002478	IAO:0000117	SJ, YH 
WARN	annotation_whitespace	OAE:0002484	IAO:0000117	YH, SJ 
WARN	annotation_whitespace	OAE:0002485	IAO:0000118	undescended testis 
WARN	annotation_whitespace	OAE:0002490	IAO:0000118	deafness transitory 
WARN	annotation_whitespace	OAE:0002490	IAO:0000119	"WEB: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3139416/
"
WARN	annotation_whitespace	OAE:0002495	IAO:0000117	YH, SJ 
WARN	annotation_whitespace	OAE:0002501	IAO:0000119	"WEB: http://medical-dictionary.thefreedictionary.com/exudative+retinopathy
"
WARN	annotation_whitespace	OAE:0002502	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Tendinosis
"
WARN	annotation_whitespace	OAE:0002506	IAO:0000118	"hemolysis
"
WARN	annotation_whitespace	OAE:0002506	IAO:0000119	"WEB: http://www.nlm.nih.gov/medlineplus/ency/article/002372.htm
"
WARN	annotation_whitespace	OAE:0002507	IAO:0000119	"WEB:  http://www.nlm.nih.gov/medlineplus/ency/imagepages/17215.htm
"
WARN	annotation_whitespace	OAE:0002508	IAO:0000119	"WEB: http://www.mayoclinic.org/diseases-conditions/hiatal-hernia/basics/definition/con-20030640
"
WARN	annotation_whitespace	OAE:0002510	IAO:0000118	"overactive bladder
"
WARN	annotation_whitespace	OAE:0002510	IAO:0000119	"WEB: http://www.mayoclinic.org/diseases-conditions/overactive-bladder/basics/definition/con-20027632
"
WARN	annotation_whitespace	OAE:0002512	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Ileitis
"
WARN	annotation_whitespace	OAE:0002513	IAO:0000118	"dislocated joint, luxation
"
WARN	annotation_whitespace	OAE:0002513	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Joint_dislocation
"
WARN	annotation_whitespace	OAE:0002514	IAO:0000118	"Mucocutaneous Lymph Node Syndrome
"
WARN	annotation_whitespace	OAE:0002514	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Kawasaki_disease
"
WARN	annotation_whitespace	OAE:0002515	IAO:0000119	"WEB: http://en.wikipedia.org/wiki/Liver_abscess
"
WARN	annotation_whitespace	OAE:0002516	IAO:0000119	"WEB: http://www.exploreforensics.co.uk/rigor-mortis-and-lividity.html
"
WARN	annotation_whitespace	OAE:0002517	IAO:0000119	"WEB: http://www.nlm.nih.gov/medlineplus/ency/article/007296.htm
"
WARN	annotation_whitespace	OAE:0002519	IAO:0000118	"Acidosis
"
WARN	annotation_whitespace	OAE:0002519	IAO:0000119	"WEB: http://www.nlm.nih.gov/medlineplus/ency/article/000335.htm
"
WARN	annotation_whitespace	OAE:0004561	IAO:0000116	[SS] moved by relation 'SubclassOf' from lung disorder AE to arterial embolism on 01/07/14 
WARN	annotation_whitespace	OAE:0004581	IAO:0000116	[SS] moved by relation 'SubclassOf' from lung disorder AE to arterial embolism on 01/07/14 
WARN	duplicate_exact_synonym	OAE:0002266	IAO:0000118	significantly decreased blood pressure AE
WARN	duplicate_exact_synonym	OAE:0002299	IAO:0000118	significantly decreased blood pressure AE
WARN	duplicate_exact_synonym	OAE:0000996	IAO:0000118	neutropenia AE
WARN	duplicate_exact_synonym	OAE:0001222	IAO:0000118	neutropenia AE
WARN	duplicate_exact_synonym	OAE:0002610	IAO:0000118	idiopathic hypertrophic subaortic stenosis
WARN	duplicate_exact_synonym	OAE:0002611	IAO:0000118	idiopathic hypertrophic subaortic stenosis
WARN	duplicate_exact_synonym	OAE:0001861	IAO:0000118	hepatic and renal function disorder AE
WARN	duplicate_exact_synonym	OAE:0002257	IAO:0000118	hepatic and renal function disorder AE
WARN	duplicate_exact_synonym	OAE:0000445	IAO:0000118	ESR
WARN	duplicate_exact_synonym	OAE:0002570	IAO:0000118	ESR
WARN	duplicate_exact_synonym	OAE:0000445	IAO:0000118	erythrocyte sedimentation rate
WARN	duplicate_exact_synonym	OAE:0002570	IAO:0000118	erythrocyte sedimentation rate
WARN	duplicate_exact_synonym	OAE:0001955	IAO:0000118	choreia AE
WARN	duplicate_exact_synonym	OAE:0001974	IAO:0000118	choreia AE
WARN	duplicate_exact_synonym	OAE:0000301	IAO:0000118	AF
WARN	duplicate_exact_synonym	OAE:0000659	IAO:0000118	AF
WARN	duplicate_label_synonym	OAE:0000066	IAO:0000118	surgery adverse event
WARN	duplicate_label_synonym	OAE:0000162	IAO:0000118	sensory neuropathy AE
WARN	duplicate_label_synonym	OAE:0000402	IAO:0000118	abdominal pain AE
WARN	duplicate_label_synonym	OAE:0000488	IAO:0000118	bacterial infection AE
WARN	duplicate_label_synonym	OAE:0000573	IAO:0000118	deafness AE
WARN	duplicate_label_synonym	OAE:0000631	IAO:0000118	serious adverse event
WARN	duplicate_label_synonym	OAE:0000643	IAO:0000118	musculoskeletal pain AE
WARN	duplicate_label_synonym	OAE:0001000	IAO:0000118	adverse effect
WARN	duplicate_label_synonym	OAE:0001046	IAO:0000118	hyperkalemia AE
WARN	duplicate_label_synonym	OAE:0001054	IAO:0000118	hypoalbuminemia AE
WARN	duplicate_label_synonym	OAE:0001098	IAO:0000118	intestinal obstruction AE
WARN	duplicate_label_synonym	OAE:0001203	IAO:0000118	nail infection AE
WARN	duplicate_label_synonym	OAE:0001217	IAO:0000118	neutropenia AE
WARN	duplicate_label_synonym	OAE:0001220	IAO:0000118	neutropenic sepsis AE
WARN	duplicate_label_synonym	OAE:0001428	IAO:0000118	subarachnoid hemorrhage AE
WARN	duplicate_label_synonym	OAE:0001988	IAO:0000118	regurgitation AE
WARN	duplicate_label_synonym	OAE:0002257	IAO:0000118	renal insufficiency AE
WARN	duplicate_label_synonym	OAE:0003346	IAO:0000118	stomach pain AE
WARN	duplicate_label_synonym	OAE:0004656	IAO:0000118	nervous system disorder AE
WARN	duplicate_label_synonym	OAE:0004680	IAO:0000118	neuropathy peripheral AE
WARN	duplicate_label_synonym	OAE:0004692	IAO:0000118	optic ischemic neuropathy AE
WARN	duplicate_label_synonym	OAE:0004744	IAO:0000118	anorexia nervosa AE
WARN	duplicate_label_synonym	OAE:0004749	IAO:0000118	axonal neuropathy AE
WARN	duplicate_label_synonym	OAE:0004789	IAO:0000118	lumbar radiculopathy AE
WARN	duplicate_label_synonym	OAE:0004929	IAO:0000118	cerebral thrombosis AE
WARN	duplicate_label_synonym	OAE:0005138	IAO:0000118	cardiovascular disorder AE
WARN	duplicate_label_synonym	OAE:0005187	IAO:0000118	haemorrhagic ovarian cyst AE
WARN	duplicate_label_synonym	OAE:0005189	IAO:0000118	haemorrhagic stroke AE
WARN	duplicate_label_synonym	OAE:0005382	IAO:0000118	vena cava embolism AE
WARN	duplicate_label_synonym	OAE:0005453	IAO:0000118	haematemesis AE
WARN	duplicate_label_synonym	OAE:0005616	IAO:0000118	faecal incontinence AE
WARN	duplicate_label_synonym	OAE:0005619	IAO:0000118	haematochezia AE
WARN	duplicate_label_synonym	OAE:0005672	IAO:0000118	infrequent bowel movements AE
WARN	duplicate_label_synonym	OAE:0005819	IAO:0000118	bile acid malabsorption AE
WARN	duplicate_label_synonym	OAE:0005837	IAO:0000118	bladder disorder AE
WARN	duplicate_label_synonym	OAE:0005863	IAO:0000118	peptic ulcer AE
WARN	duplicate_label_synonym	OAE:0005884	IAO:0000118	haemorrhoids AE
WARN	duplicate_label_synonym	OAE:0005921	IAO:0000118	ear disorder AE
WARN	duplicate_label_synonym	OAE:0005973	IAO:0000118	hearing impaired AE
WARN	duplicate_label_synonym	OAE:0005991	IAO:0000118	eye disorder AE
WARN	duplicate_label_synonym	OAE:0006019	IAO:0000118	visual impairment AE
WARN	duplicate_label_synonym	OAE:0006155	IAO:0000118	chromatopsia AE
WARN	duplicate_label_synonym	OAE:0006160	IAO:0000118	diplopia AE
WARN	duplicate_label_synonym	OAE:0006449	IAO:0000118	leukocytosis AE
WARN	duplicate_label_synonym	OAE:0006507	IAO:0000118	thrombophlebitis superficial AE
WARN	duplicate_label_synonym	OAE:0006712	IAO:0000118	immune system disorder AE
WARN	duplicate_label_synonym	OAE:0006826	IAO:0000118	injection site nodule AE
WARN	duplicate_label_synonym	OAE:0006930	IAO:0000118	transplant rejection AE
WARN	duplicate_label_synonym	OAE:0007083	IAO:0000118	varicella zoster virus infection AE
WARN	duplicate_label_synonym	OAE:0007320	IAO:0000118	acute stress disorder AE
WARN	duplicate_label_synonym	OAE:0007369	IAO:0000118	loss of consciousness AE
WARN	duplicate_label_synonym	OAE:0007436	IAO:0000118	lethargy AE
WARN	duplicate_label_synonym	OAE:0007487	IAO:0000118	renal disorder AE
WARN	duplicate_label_synonym	OAE:0007497	IAO:0000118	nephrolithiasis AE
WARN	duplicate_label_synonym	OAE:0007507	IAO:0000118	tubulointerstitial nephritis AE
WARN	duplicate_label_synonym	OAE:0007578	IAO:0000118	renal failure acute AE
WARN	duplicate_label_synonym	OAE:0007610	IAO:0000118	silent thyroiditis AE
WARN	duplicate_label_synonym	OAE:0007661	IAO:0000118	myasthenic syndrome AE
WARN	duplicate_label_synonym	OAE:0007794	IAO:0000118	myokymia AE
WARN	duplicate_label_synonym	OAE:0007852	IAO:0000118	gait disturbance AE
WARN	duplicate_label_synonym	OAE:0007883	IAO:0000118	quadriparesis AE
WARN	duplicate_label_synonym	OAE:0007930	IAO:0000118	gout AE
WARN	duplicate_label_synonym	OAE:0007996	IAO:0000118	nodule AE
WARN	duplicate_label_synonym	OAE:0008101	IAO:0000118	gingival hypertrophy AE
WARN	duplicate_label_synonym	OAE:0008109	IAO:0000118	gingivitis AE
WARN	duplicate_label_synonym	OAE:0008110	IAO:0000118	gingival hyperplasia AE
WARN	duplicate_label_synonym	OAE:0008168	IAO:0000118	paraesthesia oral AE
WARN	duplicate_label_synonym	OAE:0008172	IAO:0000118	aphthous stomatitis AE
WARN	duplicate_label_synonym	OAE:0008216	IAO:0000118	foetal heart rate deceleration AE
WARN	duplicate_label_synonym	OAE:0008277	IAO:0000118	obstructed labour AE
WARN	duplicate_label_synonym	OAE:0008581	IAO:0000118	hypomenorrhoea AE
WARN	duplicate_label_synonym	OAE:0008658	IAO:0000118	respiratory arrest AE
WARN	duplicate_label_synonym	OAE:0008659	IAO:0000118	respiratory depression AE
WARN	duplicate_label_synonym	OAE:0008661	IAO:0000118	respiratory failure AE
WARN	duplicate_label_synonym	OAE:0008779	IAO:0000118	apnoea AE
WARN	duplicate_label_synonym	OAE:0008840	IAO:0000118	haemothorax AE
WARN	duplicate_label_synonym	OAE:0008942	IAO:0000118	dermatitis allergic AE
WARN	duplicate_label_synonym	OAE:0009010	IAO:0000118	herpes zoster AE
WARN	duplicate_label_synonym	OAE:0009091	IAO:0000118	rash generalised AE
WARN	duplicate_label_synonym	OAE:0009175	IAO:0000118	reiter's syndrome AE
WARN	duplicate_label_synonym	OAE:0009237	IAO:0000118	pruritus generalised AE
WARN	duplicate_label_synonym	OAE:0009293	IAO:0000118	edema peripheral AE
WARN	duplicate_label_synonym	OAE:0009355	IAO:0000118	haematuria AE
WARN	equivalent_class_axiom_no_genus	OAE:0000066	OAE:0002616	OAE:0000067
WARN	equivalent_class_axiom_no_genus	OAE:0000082	OAE:0002081	UBERON:0000474
WARN	equivalent_class_axiom_no_genus	OAE:0000084	OAE:0002081	UBERON:0000948
WARN	equivalent_class_axiom_no_genus	OAE:0000167	OAE:0002081	UBERON:0002410
WARN	equivalent_class_axiom_no_genus	OAE:0000328	OAE:0002081	UBERON:0002113
WARN	equivalent_class_axiom_no_genus	OAE:0000337	OAE:0002081	UBERON:0000010
WARN	equivalent_class_axiom_no_genus	OAE:0000366	BFO:0000066	VO:0000300
WARN	equivalent_class_axiom_no_genus	OAE:0000366	OAE:0002081	VO:0000300
WARN	equivalent_class_axiom_no_genus	OAE:0000434	OAE:0002081	UBERON:0002048
WARN	equivalent_class_axiom_no_genus	OAE:0000435	OAE:0002081	UBERON:0002385
WARN	equivalent_class_axiom_no_genus	OAE:0000439	OAE:0002081	UBERON:0001007
WARN	equivalent_class_axiom_no_genus	OAE:0000442	OAE:0002081	UBERON:0000982
WARN	equivalent_class_axiom_no_genus	OAE:0000443	OAE:0002081	UBERON:0000970
WARN	equivalent_class_axiom_no_genus	OAE:0000465	OAE:0002081	UBERON:0001690
WARN	equivalent_class_axiom_no_genus	OAE:0000476	OAE:0002081	UBERON:0002405
WARN	equivalent_class_axiom_no_genus	OAE:0000522	OAE:0002081	UBERON:0000043
WARN	equivalent_class_axiom_no_genus	OAE:0000543	OAE:0002081	UBERON:0002097
WARN	equivalent_class_axiom_no_genus	OAE:0000570	OAE:0002081	UBERON:0001016
WARN	equivalent_class_axiom_no_genus	OAE:0000588	OAE:0002081	UBERON:0002390
WARN	equivalent_class_axiom_no_genus	OAE:0000622	OAE:0002081	UBERON:0001008
WARN	equivalent_class_axiom_no_genus	OAE:0001135	OAE:0002081	UBERON:0002107
WARN	equivalent_class_axiom_no_genus	OAE:0001845	OAE:0002081	UBERON:0000945
WARN	equivalent_class_axiom_no_genus	OAE:0002395	OAE:0002081	UBERON:0001711
WARN	equivalent_class_axiom_no_genus	OAE:0002601	OAE:0002081	UBERON:0001785
WARN	equivalent_class_axiom_no_genus	OAE:0002604	OAE:0002081	UBERON:0002410
WARN	equivalent_class_axiom_no_genus	OAE:0002627	OAE:0002081	UBERON:0001017
WARN	equivalent_class_axiom_no_genus	OAE:0002628	OAE:0002081	UBERON:0010743
WARN	equivalent_class_axiom_no_genus	OAE:0002808	OAE:0002081	OAE:0002809
WARN	equivalent_class_axiom_no_genus	OAE:0004228	OAE:0002081	UBERON:0001043
WARN	equivalent_class_axiom_no_genus	OAE:0004229	OAE:0002081	UBERON:0001245
WARN	equivalent_class_axiom_no_genus	OAE:0004230	OAE:0002081	UBERON:0002114
WARN	equivalent_class_axiom_no_genus	OAE:0004304	OAE:0002081	UBERON:0000995
WARN	equivalent_class_axiom_no_genus	OAE:0004457	OAE:0002081	UBERON:0001255
WARN	missing_definition	OAE:0000028	IAO:0000115	
WARN	missing_definition	OAE:0000095	IAO:0000115	
WARN	missing_definition	OAE:0000099	IAO:0000115	
WARN	missing_definition	OAE:0000103	IAO:0000115	
WARN	missing_definition	OAE:0000116	IAO:0000115	
WARN	missing_definition	OAE:0000117	IAO:0000115	
WARN	missing_definition	OAE:0000118	IAO:0000115	
WARN	missing_definition	OAE:0000119	IAO:0000115	
WARN	missing_definition	OAE:0000120	IAO:0000115	
WARN	missing_definition	OAE:0000121	IAO:0000115	
WARN	missing_definition	OAE:0000122	IAO:0000115	
WARN	missing_definition	OAE:0000123	IAO:0000115	
WARN	missing_definition	OAE:0000124	IAO:0000115	
WARN	missing_definition	OAE:0000128	IAO:0000115	
WARN	missing_definition	OAE:0000129	IAO:0000115	
WARN	missing_definition	OAE:0000130	IAO:0000115	
WARN	missing_definition	OAE:0000131	IAO:0000115	
WARN	missing_definition	OAE:0000132	IAO:0000115	
WARN	missing_definition	OAE:0000149	IAO:0000115	
WARN	missing_definition	OAE:0000189	IAO:0000115	
WARN	missing_definition	OAE:0000190	IAO:0000115	
WARN	missing_definition	OAE:0000191	IAO:0000115	
WARN	missing_definition	OAE:0000192	IAO:0000115	
WARN	missing_definition	OAE:0000193	IAO:0000115	
WARN	missing_definition	OAE:0000295	IAO:0000115	
WARN	missing_definition	OAE:0000307	IAO:0000115	
WARN	missing_definition	OAE:0000311	IAO:0000115	
WARN	missing_definition	OAE:0000402	IAO:0000115	
WARN	missing_definition	OAE:0000542	IAO:0000115	
WARN	missing_definition	OAE:0000582	IAO:0000115	
WARN	missing_definition	OAE:0000585	IAO:0000115	
WARN	missing_definition	OAE:0000601	IAO:0000115	
WARN	missing_definition	OAE:0000626	IAO:0000115	
WARN	missing_definition	OAE:0000655	IAO:0000115	
WARN	missing_definition	OAE:0000663	IAO:0000115	
WARN	missing_definition	OAE:0000698	IAO:0000115	
WARN	missing_definition	OAE:0000808	IAO:0000115	
WARN	missing_definition	OAE:0000848	IAO:0000115	
WARN	missing_definition	OAE:0001047	IAO:0000115	
WARN	missing_definition	OAE:0001048	IAO:0000115	
WARN	missing_definition	OAE:0001176	IAO:0000115	
WARN	missing_definition	OAE:0001548	IAO:0000115	
WARN	missing_definition	OAE:0001553	IAO:0000115	
WARN	missing_definition	OAE:0001779	IAO:0000115	
WARN	missing_definition	OAE:0001784	IAO:0000115	
WARN	missing_definition	OAE:0001802	IAO:0000115	
WARN	missing_definition	OAE:0001849	IAO:0000115	
WARN	missing_definition	OAE:0001868	IAO:0000115	
WARN	missing_definition	OAE:0001871	IAO:0000115	
WARN	missing_definition	OAE:0002059	IAO:0000115	
WARN	missing_definition	OAE:0002107	IAO:0000115	
WARN	missing_definition	OAE:0002258	IAO:0000115	
WARN	missing_definition	OAE:0002345	IAO:0000115	
WARN	missing_definition	OAE:0002374	IAO:0000115	
WARN	missing_definition	OAE:0002505	IAO:0000115	
WARN	missing_definition	OAE:0002518	IAO:0000115	
WARN	missing_definition	OAE:0002590	IAO:0000115	
WARN	missing_definition	OAE:0003230	IAO:0000115	
WARN	missing_definition	OAE:0004231	IAO:0000115	
WARN	missing_definition	OAE:0004334	IAO:0000115	
WARN	missing_definition	OAE:0004367	IAO:0000115	
WARN	missing_definition	OAE:0004368	IAO:0000115	
WARN	missing_definition	OAE:0004369	IAO:0000115	
WARN	missing_definition	OAE:0004422	IAO:0000115	
WARN	missing_definition	OAE:0004430	IAO:0000115	
WARN	missing_definition	OAE:0004527	IAO:0000115	
WARN	missing_definition	OAE:0004529	IAO:0000115	
WARN	missing_definition	OAE:0004530	IAO:0000115	
WARN	missing_definition	OAE:0004531	IAO:0000115	
WARN	missing_definition	OAE:0004532	IAO:0000115	
WARN	missing_definition	OAE:0004533	IAO:0000115	
WARN	missing_definition	OAE:0004535	IAO:0000115	
WARN	missing_definition	OAE:0004536	IAO:0000115	
WARN	missing_definition	OAE:0004537	IAO:0000115	
WARN	missing_definition	OAE:0004538	IAO:0000115	
WARN	missing_definition	OAE:0004541	IAO:0000115	
WARN	missing_definition	OAE:0004542	IAO:0000115	
