ontology ID,label,entity type,Parent,alternative term,Chinese translation,definition,definition source,editor note,has_MedDRA_id,term editor,obsolete,has obsolescence reason (AI),replacement term
OAE:0002078,obsolete blood pressure fluctuation AE,Class,obsolete class,,,an abnormal blood pressure AE that has an outcome of blood pressure fluctuations,,,10005746,RR,true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0005219
OAE:0002385,obsolete bone marrow edema AE,Class,obsolete class,,,bone marrow edema AE is an edema AE that occurs when excess fluids in the bone marrow buildup and cause swelling. This condition is often caused by a protective reaction of the body in response to an injury or inflammation,WEB: http://www.wisegeek.com/what-is-bone-marrow-edema.htm,,10051763,"SJ, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0006499
OAE:0004954,obsolete brain edema AE,Class,obsolete class,,脑部水肿,This is an AE which is excess accumulation of fluid (edema) in the intracellular or extracellular spaces of the brain.,http://en.volupedia.org/wiki/Cerebral_edema,,10048962,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000761
OAE:0008754,obsolete bronchitis AE,Class,obsolete class,,支气管炎,This is an AE which is inflammation of the bronchi (large and medium-sized airways) in the lungs that causes coughing.,http://en.volupedia.org/wiki/Bronchitis,,10006451,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000462
OAE:0005122,obsolete cardio-respiratory distress AE,Class,obsolete class,,呼吸窘迫,This is an AE which is a type of respiratory failure characterized.,http://en.volupedia.org/wiki/Acute_respiratory_distress_syndrome,,10049874,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001843
OAE:0005158,obsolete cardiogenic shock AE,Class,obsolete class,,心原性休克,This is an AE which is a medical emergency resulting from inadequate blood flow due to the dysfunction of the ventricles of the heart.,http://en.volupedia.org/wiki/Cardiogenic_shock,,10007625,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000784
OAE:0007091,obsolete cellulitis AE,Class,obsolete class,,蜂窝织炎,This is an AE which is a bacterial infection involving the inner layers of the skin.,http://en.volupedia.org/wiki/Cellulitis,,10007882,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000304
OAE:0004923,obsolete cerebral hemorrhage AE,Class,obsolete class,,脑出血,"This is an AE which is a sudden bleeding into the tissues of the brain, into its ventricles, or into both.",http://en.volupedia.org/wiki/Intracerebral_hemorrhage,,10008111,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000801
OAE:0004931,obsolete cerebral venous sinus thrombosis AE,Class,obsolete class,,脑静脉窦血栓形成,"This is an AE which is the presence of a blood clot in the dural venous sinuses (which drain blood from the brain), the cerebral veins, or both.",http://en.volupedia.org/wiki/Cerebral_venous_sinus_thrombosis,,10083037,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004534
OAE:0004935,obsolete cerebrovascular accident AE,Class,obsolete class,,脑血管中风,This is an AE which is a medical condition in which poor blood flow to the brain causes cell death.,http://en.volupedia.org/wiki/Stroke,,10008190,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000534
OAE:0008057,obsolete cheilitis AE,Class,obsolete class,,唇炎,This is an AE which is a medical condition characterized by inflammation of the lips.,http://en.volupedia.org/wiki/Cheilitis,,10008417,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000805
OAE:0002403,obsolete coagulopathy AE,Class,obsolete class,,,"A coagulopathy AE is a blood disorder AE that has an outcome of coagulopathy, which is a condition in which there is a deviation from or interruption of the normal coagulation properties of the blood.","WEB: http://en.wikipedia.org/wiki/Coagulopathy
",,10009802,"KM, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000934
OAE:0008794,obsolete collapse of lung AE,Class,obsolete class,,肺萎陷,This is an AE which is an accumulation of air in the chest causing the lung to separate from the chest wall.,http://en.volupedia.org/wiki/Collapsed_lung_(disambiguation),,10009913,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000826
OAE:0006012,obsolete color blindness AE,Class,obsolete class,,色盲,This is an AE which is the decreased ability to see color or differences in color.,http://en.volupedia.org/wiki/Color_blindness,,10010050,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004353
OAE:0007988,obsolete costovertebral angle tenderness AE,Class,obsolete class,,肋椎角压痛,This is an AE which is pain that results from touching the region inside of the costovertebral angle.,http://en.volupedia.org/wiki/Costovertebral_angle_tenderness,,10051704,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004490
OAE:0007862,obsolete difficulty in walking AE,Class,obsolete class,,行走困难,This is an AE which is a deviation from normal walking (gait).,http://en.volupedia.org/wiki/Gait_abnormality,,10012794,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000307
OAE:0007810,obsolete dislocation of vertebra AE,Class,obsolete class,,椎体脱位|腰椎脱位,"This is an AE which is a dislocation of an irregular bone with a complex structure composed of bone and some hyaline cartilage, the proportions of which vary according to the segment of the backbone and the species of vertebrate.",http://en.volupedia.org/wiki/Vertebra,,10013183,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000880
OAE:0007026,obsolete disseminated bacillus calmette-guerin infection AE,Class,obsolete class,,播散性卡介苗杆菌感染,"This is an AE which is a mainstay of adjunctive therapy for superficial bladder cancer that increases length of disease progression-free survival and it usually well tolerated, moderate to severe local and systemic infectious complications can occur with this immunotherapy.",https://pubmed.ncbi.nlm.nih.gov/31711964/,,10076666,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001543
OAE:0004278,obsolete disseminated BCG infection AE,Class,obsolete class,disseminated Bacillus Calmette-Guerin infection AE,,a viral infection AE that is caused by a disseminated Bacillus Calmette-Guerin bacterial infection.,,,10069636,"JX, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001543
OAE:0002049,obsolete dysstasia AE,Class,obsolete class,,,"a behavior and neurological AE that results in dysstasia, or difficulty standing",WEB: http://www.medilexicon.com/medicaldictionary.php?t=27458,,10050256,RR,true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003245
OAE:0008001,obsolete dysstasia AE,Class,obsolete class,,起立困难,"This is an AE which is any of various types of abnormal growth or development of cells (microscopic scale) or organs (macroscopic scale), and the abnormal histology or anatomical structure resulting from such growth.",http://en.volupedia.org/wiki/Dysplasia,,10050256,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003245
OAE:0004900,obsolete encephalitis infection AE,Class,obsolete class,,脑炎的感染,This is an AE which is inflammation and infection of the brain.,http://en.volupedia.org/wiki/Encephalitis,,10058805,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003296
OAE:0008493,obsolete endometritis AE,Class,obsolete class,,子宫内膜炎,This is an AE which is inflammation of the inner lining of the uterus (endometrium).,http://en.volupedia.org/wiki/Endometritis,,10014791,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004305
OAE:0006033,obsolete endophthalmitis AE,Class,obsolete class,,眼内炎,"This is an AE which is inflammation of the interior cavity of the eye, usually caused by infection.",http://en.volupedia.org/wiki/Endophthalmitis,,10014801,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003490
OAE:0003319,obsolete enterocolitis infectious AE,Class,obsolete class,,,an infection AE that has an infectious process involving the small and large intestines.,,,10058838,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000918
OAE:0005643,obsolete enuresis AE,Class,obsolete class,,遗尿症,This is an AE which is a repeated inability to control urination.,http://en.volupedia.org/wiki/Enuresis,,10014928,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002001
OAE:0006341,obsolete epistaxis AE,Class,obsolete class,,鼻出血,This is an AE which is bleeding from the nose.,http://en.volupedia.org/wiki/Nosebleed,,10015090,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000508
OAE:0005205,obsolete esophageal hemorrhage AE,Class,obsolete class,,食管大出血,"This is an AE which is an organ in vertebrates through which food passes, aided by peristaltic contractions, from the pharynx to the stomach and the organ is haemorrhage.",http://en.volupedia.org/wiki/Esophagus,,10030172,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003350
OAE:0005897,obsolete esophageal obstruction AE,Class,obsolete class,,食管梗阻,,,,10030178,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003374
OAE:0005755,obsolete esophageal stenosis AE,Class,obsolete class,,食管狭窄,This is an AE which is a predictor of poor prognosis in patients with oesophageal cancer.,https://pubmed.ncbi.nlm.nih.gov/29617789/,,10030194,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001233
OAE:0005756,obsolete esophageal ulcer AE,Class,obsolete class,,食管溃疡,This is an AE which occur mainly as a result of gastro-oesophageal reflux disease (GERD).,https://pubmed.ncbi.nlm.nih.gov/17465462/,,10030201,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003375
OAE:0008961,obsolete excoriation AE,Class,obsolete class,,表皮脱落,"This is an AE which refers a punctate or linear abrasion produced by mechanical means (often scratching), usually involving only the epidermis, but commonly reaching the papillary dermis.",http://en.volupedia.org/wiki/Skin_condition#Secondary_lesions,,10049796,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000668
OAE:0008962,obsolete exfoliative rash AE,Class,obsolete class,,表皮剥脱的皮疹,"This is an AE which is a change of the human skin which affects its color, appearance, or texture and is exfoliative.",http://en.volupedia.org/wiki/Rash,,10064579,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000928
OAE:0008246,obsolete exomphalos AE,Class,obsolete class,,脐突出,This is an AE which is a rare abdominal wall defect.,http://en.volupedia.org/wiki/Omphalocele,,10015677,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000929
OAE:0006677,obsolete extradural abscess AE,Class,obsolete class,,硬膜外脓肿,This is an AE whcih is an uncommon disease with a relatively high rate of associated morbidity and mortality.,https://pubmed.ncbi.nlm.nih.gov/20060254/,,10061846,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000932
OAE:0006036,obsolete extraocular muscle paresis AE,Class,obsolete class,,眼外肌轻度瘫痪,This is an AE which  refers to weakness (-paresis) or paralysis (-plegia) of one or more extraocular muscles which are responsible for eye movements.,http://en.volupedia.org/wiki/Ophthalmoparesis,,10015829,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000933
OAE:0007811,obsolete extrapyramidal disorder AE,Class,obsolete class,,锥体外系疾病,"This is an AE which refers to any clinical syndrome with either an excess of movement or a paucity of voluntary and involuntary movements, unrelated to weakness or spasticity.",http://en.volupedia.org/wiki/Movement_disorder,,10015832,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002787
OAE:0009390,obsolete extrasystoles AE,Class,obsolete class,,期外收缩,,,,10015856,,true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001877
OAE:0005475,obsolete extravasation AE,Class,obsolete class,,外渗,"This is an AE which is the leakage of a fluid out of its container into the surrounding area, especially blood or blood cells from vessels.",http://en.volupedia.org/wiki/Extravasation,,10015866,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000213
OAE:0006164,obsolete exudative retinopathy AE,Class,obsolete class,,渗出性视网膜病变,This is an AE which may be a manifestation of a variety of isolated ocular or systemic diseases in children.,https://pubmed.ncbi.nlm.nih.gov/30170046/,,10015901,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002501
OAE:0001778,obsolete eye inflammation AE,Class,obsolete class,,,an inflammation AE that occurs in eye.,,,,"YH, JX",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000560
OAE:0009295,obsolete face edema AE,Class,obsolete class,,脸部水肿,This is an AE which is the build-up of fluid in the face tissue.,http://en.volupedia.org/wiki/Edema,,10016029,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000397
OAE:0007445,obsolete feeling of body temperature change AE,Class,obsolete class,,感觉体温变化,,,,10061458,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001879
OAE:0007684,obsolete fibromyalgia AE,Class,obsolete class,,纤维肌痛症,This is an AE which is a medical condition characterized by chronic widespread pain and a heightened pain response to pressure.,http://en.volupedia.org/wiki/Fibromyalgia,,10048439,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001953
OAE:0007687,obsolete fibrosis tendinous AE,Class,obsolete class,,纤维化腱,"This is an AE which is a pathological wound healing in which connective tissue replaces normal tendinous parenchymal tissue to the extent that it goes unchecked, leading to considerable tissue remodelling and the formation of permanent scar tissue.",http://en.volupedia.org/wiki/Fibrosis,,10016662,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004237
OAE:0005649,obsolete flatulence AE,Class,obsolete class,,肠胃气胀,"This is an AE which is defined in the medical literature as ""flatus expelled through the anus"" or the ""quality or state of being flatulent"", which is defined in turn as ""marked by or affected with gases generated in the intestine or stomach; likely to cause digestive flatulence"".",http://en.volupedia.org/wiki/Flatulence,,10016766,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000536
OAE:0006411,obsolete folliculitis AE,Class,obsolete class,,毛囊炎,This is an AE which is the infection and inflammation of one or more hair follicles.,http://en.volupedia.org/wiki/Folliculitis,,10016936,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000953
OAE:0007716,obsolete forearm fracture AE,Class,obsolete class,,前臂骨折,This is an AE which is the region of the upper limb between the elbow and the wrist which is fracture.,http://en.volupedia.org/wiki/Forearm#Fracture,,10016997,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000955
OAE:0002098,obsolete glossitis AE,Class,obsolete class,,,"a tongue disorder with the outcome of glossitis, a condition in which the tongue is swollen and changes color, which may make the tongue appear smooth",WEB: http://www.nlm.nih.gov/medlineplus/ency/article/001053.htm,,10018386,RR,true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001965
OAE:0003581,obsolete Grade 2 hematoma AE,Class,obsolete class,,,a hematoma AE that is generalized,,,,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003031
OAE:0004084,obsolete Grade 3 intestinal stoma leak AE,Class,obsolete class,,,"an intestinal stoma leak AE that has severe symptoms; IV fluids, tube feeding, or TPN indicated greater than or equal to 24 hrs; elective operative intervention indicated",,,,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004083
OAE:0003499,obsolete Grade 3 pancreatitis AE,Class,obsolete class,,,"a pancreatitis AE that has severe pain; vomiting; medical intervention indicated (e.g., analgesia, nutritional support)",,,,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003498
OAE:0004146,obsolete Grade 3 postoperative thoracic procedure complication AE,Class,obsolete class,,,"a postoperative thoracic procedure complication AE that has  life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",,,,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004145
OAE:0009354,obsolete hemoglobinuria AE,Class,obsolete class,,血红素尿,This is an AE which is a condition in which the oxygen transport protein hemoglobin is found in abnormally high concentrations in the urine.,http://en.volupedia.org/wiki/Hemoglobinuria,,10018906,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002661
OAE:0006531,obsolete hemoptysis AE,Class,obsolete class,,咯血,"This is an AE which is the coughing up of blood or blood-stained mucus from the bronchi, larynx, trachea, or lungs.",http://en.volupedia.org/wiki/Hemoptysis,,10018964,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001013
OAE:0005180,obsolete hemorrhage intracranial AE,Class,obsolete class,,颅内出血,This is an AE which is bleeding within the skull.,http://en.volupedia.org/wiki/Intracranial_hemorrhage,,10018985,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001014
OAE:0005195,obsolete hepatic hemorrhage AE,Class,obsolete class,,肝出血,This is an AE which is a condition of unrecognized origin which can become extremely serious and whose diagnosis is often made during perinatal autopsy and is often characterised by nonspecific clinical manifestations and a long delay before biological presentation.,https://pubmed.ncbi.nlm.nih.gov/28748016/,,10019677,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003352
OAE:0006620,obsolete hepatic infection AE,Class,obsolete class,,肝病毒感染,"This is an AE which is the invasion of an organism's body tissues by disease-causing agents, their multiplication, and the reaction of host tissues to the infectious agents and the toxins they produce such as hepatic infection.",http://en.volupedia.org/wiki/Infection,,10056522,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003313
OAE:0007350,obsolete hypoesthesia facial AE,Class,obsolete class,,面部触觉减退,"This is an AE which is a common side effect of various medical conditions which manifests as a reduced sense of touch or sensation, or a partial loss of sensitivity to sensory stimuli such as hypoaesthesia facial.",http://en.volupedia.org/wiki/Hypoesthesia,,10065312,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002043
OAE:0006327,obsolete hypoesthesia oral AE,Class,obsolete class,,口腔触觉减退,"This is an AE which is a common side effect of various medical conditions which manifests as a reduced sense of oral touch or sensation, or a partial loss of sensitivity to sensory stimuli.",http://en.volupedia.org/wiki/Hypoesthesia,,10057371,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000947
OAE:0002373,obsolete idiopathic thrombocytopenic purpura AE,Class,obsolete class,immune thrombocytopenic purpura,,a cardiovascular disorder AE that results in easy or excessive bruising and bleeding. The bleeding results from unusually low levels of platelets.,WEB: http://www.mayoclinic.org/diseases-conditions/idiopathic-thrombocytopenic-purpura/basics/definition/con-20034239,,10050245,"SJ, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002073
OAE:0008870,obsolete induration AE,Class,obsolete class,,硬化,This is an AE which is dermal thickening causing the cutaneous surface to feel thicker and firmer.,http://en.volupedia.org/wiki/Skin_condition#Secondary_lesions,,10060708,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002039
OAE:0003268,obsolete intestinal stoma leak AE,Class,obsolete class,,,a medical intervention site AE that has the finding of leakage of contents from an intestinal stoma (surgically created opening on the surface of the body).,,,10059095,"MW, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003267
OAE:0001113,obsolete large for dates baby AE,Class,obsolete class,,,a congetical abnormality AE that results in the patient's baby being larger than it should be at the time in their pregnancy,,,10023789,"SZ, DJ, SS, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0008293
OAE:0008734,obsolete laryngeal edema AE,Class,obsolete class,,喉水肿,This is an AE which may be a cause of ABD in preterm newborns and it may arise from oesophageal reflux and/or presence of the feeding tube. It can be diagnosed by atraumatic fiberoptic fibroscopy and successfully treated with corticosteroids.,https://pubmed.ncbi.nlm.nih.gov/15814221/,,10023845,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0002241
OAE:0005235,obsolete leukocytoclastic vasculitis AE,Class,obsolete class,,白细胞性血管炎,"This is an AE which is inflammation of small blood vessels (usually post-capillary venules in the dermis), characterized by palpable purpura and it is the most common vasculitis seen in clinical practice.",http://en.volupedia.org/wiki/Cutaneous_small-vessel_vasculitis,,10024377,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001126
OAE:0008573,obsolete libido disorder AE,Class,obsolete class,,性欲障碍,This is an AE which is a person's overall sexual drive or desire for sexual activity that is became disorder.,http://en.volupedia.org/wiki/Libido,,10061221,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001130
OAE:0001141,obsolete lower gastrointestinal hemorrhage AE,Class,obsolete class,lower gastrointestinal haemorrhage AE,,a gastrointestinal hemorrhage AE that has an outcome of bleeding in the lower gastrointestinal tract,WEB: http://www.nlm.nih.gov/medlineplus/ency/article/003133.htm,,10050953,"SZ, DJ, SS, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0003356
OAE:0008718,obsolete lung consolidation AE,Class,obsolete class,,肺实变,This is an AE which is a region of normally compressible lung tissue that has filled with liquid instead of air.,http://en.volupedia.org/wiki/Pulmonary_consolidation,,10025080,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001143
OAE:0001169,obsolete menometrorrhagia AE,Class,obsolete class,,,Hematuria AE that results in excessive uterine bleeding occurs irregularly and more frequently than normal,WEB: http://medical-dictionary.thefreedictionary.com/menometrorrhagia,,10027295,"SZ, SS, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0008450
OAE:0004281,obsolete menorrhagia AE,Class,obsolete class,hypermenorrhea AE,,a menstrual disorder AE that shows a menstrual period with abnormally heavy flow and falls under the larger category of abnormal uterine bleeding (AUB),WEB: https://en.wikipedia.org/wiki/Menorrhagia,,,"QL, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001170
OAE:0007790,obsolete myofascitis AE,Class,obsolete class,,肌筋膜炎,"This is an AE which main cause of the disease is aseptic inflammation of local muscles and connective tissues such as myofascial, which can be manifested as paralysis, distension, and other discomfort, local muscle stiffness, spasm or palpable strain-like nodules.",https://pubmed.ncbi.nlm.nih.gov/34114979/,,10052443,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004238
OAE:0007782,obsolete myopathy AE,Class,obsolete class,,肌病,This is an AE which is a disease of the muscle  in which the muscle fibers do not function properly.,http://en.volupedia.org/wiki/Myopathy,,10028641,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000525
OAE:0005484,obsolete necrosis ischemic AE,Class,obsolete class,,缺血性坏死,,,,10028862,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001204
OAE:0008449,obsolete nephritis AE,Class,obsolete class,,性肾炎,"This is an AE which is inflammation of the kidneys and may involve the glomeruli, tubules, or interstitial tissue surrounding the glomeruli and tubules.",http://en.volupedia.org/wiki/Nephritis,,10029117,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004447
OAE:0004687,obsolete neurotoxicity AE,Class,obsolete class,,神经毒性,"This is an AE which is a form of toxicity in which a biological, chemical, or physical agent produces an adverse effect on the structure or function of the central and/or peripheral nervous system.",http://en.volupedia.org/wiki/Neurotoxicity,,10029350,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001215
OAE:0006484,obsolete normochromic normocytic anemia AE,Class,obsolete class,,正色素性正细胞性贫血,This is an AE which is a common complication in chronic kidney disease and is associated with many adverse clinical consequences.,https://pubmed.ncbi.nlm.nih.gov/26372086/,,10029783,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0001227
OAE:0006080,obsolete nystagmus AE,Class,obsolete class,,眼球震颤,"This is an AE which is a condition of involuntary (or voluntary, in some cases) eye movement.",http://en.volupedia.org/wiki/Nystagmus,,10029864,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0000048
OAE:0001235,obsolete oligohydramnios AE,Class,obsolete class,placental dysfunction AE,,"a reproductive system AE that has an outcome of insufficient placenta, the baby may get less oxygen and nutrients",WEB: http://www.ncbi.nlm.nih.gov/pubmedhealth/PMH0002455/,,10030289,"SZ, SS, YH",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0008261
OAE:0009343,obsolete oliguria AE,Class,obsolete class,,尿过少,This is an AE which is the low output of urine specifically more than 80 ml/day but less than 100ml/day.,http://en.volupedia.org/wiki/Oliguria,,10030302,"QY, JX, HY",true,http://purl.obolibrary.org/obo/IAO_0000227,OAE:0004226
